Age,Killings
0,137
1,42
2,47
3,46
4,48
5,40
6,47
7,49
8,55
9,75
10,63
11,62
12,92
13,106
14,142
15,192
16,212
17,242
18,290
19,312
20,266
21,287
22,293
23,232
24,248
25,226
26,228
27,221
28,180
29,212
30,192
31,156
32,154
33,136
34,158
35,158
36,137
37,129
38,135
39,121
40,123
41,105
42,118
43,95
44,95
45,102
46,79
47,77
48,81
49,69
50,92
51,67
52,74
53,63
54,53
55,57
56,60
57,56
58,55
59,53
60,66
61,43
62,64
63,42
64,48
65,56
66,39
67,42
68,48
69,52
70,30
71,29
72,46
73,38
74,32
75,38
76,32
77,26
78,31
79,37
80,36
81,40
82,32
83,31
84,19
85,28
86,23
87,23
88,12
89,13
90,14
91,11
92,4
93,3
94,3
95,3
96,0
97,2
98,2
99,1
100,1
